id,name,aliases,entity_type,risk_category,risk_score,country,date_of_birth,passport_number,national_id,address,phone_number,email,designation,sanctions_list,list_date,status,notes,last_updated
WL_000001,"Pierce, Romero and Bruce 676",,Aircraft,Human Trafficking,0.86,Myanmar,,,,"1116 Nicole Street, New Jayland, NE 07056",591.860.1749x445,,,FATF,2023-11-01,Active,,2025-01-17
WL_000002,MV Sarah Collins,,Vessel,Organized Crime,0.63,Syria,,,,"9201 Mitchell Village Apt. 637, South Carlosview, KY 10016",,,,UN,2019-05-11,Active,,2025-02-02
WL_000003,Omar-Nicholas Terrell,Jon Johnson; Allen Navarro; Christopher Flowers,Individual,Sanctions Violation,0.96,China,1986-09-23,,346-40-8034,"18544 Lisa Rest, Port Sean, MP 14360",621.201.1363x37206,nicholasclark@example.com,,ED,2021-11-12,Active,,2025-03-14
WL_000004,MV Adam Hawkins,,Vessel,Corruption,0.99,Libya,,,,"056 James Burg Apt. 605, Port Oscar, VT 55193",,taylormichael@example.net,,EU,2020-09-04,Active,"Result like why receive white bill reflect. Camera so security wife kitchen. Similar study teach performance final enter.
Resource compare arm history area source official though.",2025-02-05
WL_000005,Paul Barrett,,Individual,Politically Exposed Person (PEP),0.76,Afghanistan,1962-05-25,735261172,,"564 Megan Circle, Grayburgh, IA 05289",,,"Buyer, retail",EU,2018-10-10,Under Review,,2024-11-27
WL_000006,MV Amber Thomas,,Vessel,Sanctions Violation,0.98,Belarus,,,,"9979 Ferguson Parkway, Williamsport, MS 63727",330-880-4976x960,zmoore@example.com,,EU,2024-12-06,Under Review,,2025-05-16
WL_000007,MV Gabriel Bond,,Vessel,Tax Evasion,0.68,Cuba,,,,,001-793-853-5629,,,ED,2018-06-05,Inactive,,2025-05-19
WL_000008,Robert Ortiz,Anthony Ferguson; Sabrina Cobb,Individual,Corruption,0.68,Somalia,1992-10-18,,,"11024 Mary Canyon, South Whitneyfort, NC 33078",(681)872-8444x3114,adamsjohn@example.net,"Teacher, secondary school",RBI,2017-08-11,Under Review,,2024-12-18
WL_000009,Houston-Burton,,Organization,Organized Crime,0.73,Somalia,,,,,001-895-517-0776x918,,,FATF,2016-12-08,Inactive,Race film evening treatment. Modern charge sea capital spend thus our. Huge drop have drop voice try.,2025-03-01
WL_000010,Amber Miller,Mr. Michael Jackson; Sherry Miller,Individual,Human Trafficking,0.86,Pakistan,1979-07-08,W09402674,852-45-9353,,,karen03@example.org,,FATF,2016-02-29,Inactive,,2025-03-22
WL_000011,MV Philip Hodges,,Vessel,Human Trafficking,0.63,China,,,,"Unit 4152 Box 0436, DPO AP 79966",995.864.0503x1751,,,OFAC,2016-11-28,Inactive,,2024-12-18
WL_000012,MV Ann Walter,,Vessel,Fraud,0.71,Afghanistan,,,,"2639 Mary Plains, Raymondville, AZ 10091",,,,RBI,2017-06-09,Under Review,,2025-07-12
WL_000013,Schneider and Sons,,Organization,Human Trafficking,0.62,Mali,,,,"8089 Lewis Burg, South Hunter, WV 65181",958-301-5525x2309,,,SEBI,2021-06-20,Active,,2024-10-15
WL_000014,"Lopez, Stewart and Perez","Robinson, Reed and Wilkinson",Organization,Corruption,0.67,Nicaragua,,,,"5729 Weber Crest, West Johnchester, WV 31493",,laura07@example.com,,ED,2017-02-21,Under Review,,2025-05-05
WL_000015,Wyatt Ltd 633,,Aircraft,Corruption,0.75,Syria,,,,,,allen28@example.org,,EU,2017-06-26,Inactive,,2025-02-14
WL_000016,Robbins PLC Front,,Organization,Drug Trafficking,0.62,Venezuela,,,,,,,,RBI,2016-05-04,Inactive,,2024-11-11
