transaction_id,sender_name,receiver_name,amount,timestamp,payment_method,location
TXN_000001,Hernandez-Miller,Heather Duncan,284200.2,2025-07-21 21:47:36,Net Banking,Petersontown
TXN_000002,Timothy Schultz,Veronica Shelton,205001.96,2025-07-11 20:20:56,Card,Rayfort
TXN_000003,Jacob Jackson,Jeffrey Long,22347.25,2025-07-16 03:19:39,Card,Claytonburgh
TXN_000004,Dennis Sanchez,Megan Lee,271518.12,2025-07-26 00:15:39,UPI,New Robertberg
TXN_000005,Eric Hanson,Ryan Taylor,371468.91,2025-07-31 20:19:48,UPI,Smithmouth
TXN_000006,Samantha Moore,Eric Weaver,174239.82,2025-07-19 07:07:14,Wallet,Garyport
TXN_000007,Michael Rodriguez,Donna Farmer,435893.24,2025-07-09 18:08:30,Wallet,Rosefort
TXN_000008,Wyatt Baker,Danielle Leach,20553.83,2025-07-29 17:06:53,Net Banking,Port Maryborough
TXN_000009,Brittany Nguyen,Shelby Vasquez,373600.64,2025-07-13 14:31:50,Card,Knappland
TXN_000010,Brenda Jackson,Stacey Davis,20352.58,2025-07-18 23:51:11,UPI,Lake Alexandramouth
TXN_000011,Laura Hanna,Nicholas Allen,283188.58,2025-07-10 10:19:33,Net Banking,Alexandratown
TXN_000012,Erika Ryan,Phillip Walker,112587.27,2025-08-04 10:51:38,Net Banking,Smithhaven
TXN_000013,Stephanie Hall,James King,183779.19,2025-08-03 07:20:17,Wallet,Samuelport
TXN_000014,Brian Taylor,David Thomas,303101.99,2025-08-06 04:11:40,Net Banking,Robertton
TXN_000015,Pamela Townsend,Michele Edwards,111770.09,2025-07-14 01:55:46,Wallet,New Pamelaland
TXN_000016,Cody Watson,Sabrina White,430998.89,2025-07-09 14:40:07,Wallet,Port Briannaview
TXN_000017,Daniel Lopez,Michael Miller,390078.63,2025-08-04 21:22:45,Card,West Ianberg
TXN_000018,Zachary Graham,Karen Edwards,489494.04,2025-07-07 17:35:25,Wallet,Michaelberg
TXN_000019,Megan Stevens,Heather Morgan,130522.73,2025-07-17 16:28:56,Wallet,Woodsport
TXN_000020,Maria Bates,Richard Gross,412350.05,2025-07-08 06:35:52,Wallet,Nicholasside
TXN_000021,John Guerra,Jamie Lester,379984.67,2025-07-31 08:14:11,Net Banking,North Troy
TXN_000022,Danny Fernandez,Alyssa Johnson,335696.02,2025-07-18 17:56:32,Card,Lake Megan
TXN_000023,Lee Williams DVM,Melody Martin,485313.96,2025-07-11 18:34:00,Net Banking,Jeffreybury
TXN_000024,Joshua Powers,Steven Osborn,330823.61,2025-08-05 10:58:00,Card,Charlesmouth
TXN_000025,Jordan Roberts,Douglas Thomas,121809.32,2025-08-02 05:04:20,UPI,Rodriguezberg
TXN_000026,Amy Powell,April Ward,246769.53,2025-07-27 02:59:04,Net Banking,Crawfordborough
TXN_000027,Downs and Sons 216,Ashley Keller,429572.79,2025-07-19 16:20:39,Card,South John
